Bvtg	flt 	4	0.0
Bvth	flt 	4	0.0
Bvti	flt 	4	0.0
Bvtj	flt 	4	0.0
Bvtk	flt 	4	0.0
Bvtl	flt 	4	0.0
Bvtm	flt 	4	0.0
Bvtn	flt 	4	0.0
Bvto	hex_	32	0000000000000000
CBD0	?	?	ERR
CBD1	?	?	ERR
CBD2	?	?	ERR
CBD3	?	?	ERR
CBD4	?	?	ERR
CBIV	hex_	20	0000000000000000
CBPL	hex_	8	0000000000000000
CBSC	ui32	4	134217728.0
CBSV	ui32	4	67108864.0
CBTC	ui8 	1	1.0
CH0H	ui32	4	0.0
CHBI	ui16	2	0.0
CHBV	ui16	2	12630.0
CHCC	flag	1	01
CHCE	flag	1	01
CHCR	flag	1	01
CHGC	ui16	2	47242.0
CHGD	flag	1	00
CHGI	ui16	2	0.0
CHGV	ui16	2	12628.0
CHII	ui16	2	4648.0
CHIM	flag	1	01
CHIT	ui16	2	0.0
CHLS	?	?	ERR
CHLT	hex_	3	000000
CHNC	ui8 	1	4.0
CLKA	ui32	4	4294967295.0
CLKL	hex_	6	64d4a9c20b00
CLKM	hex_	6	0500b3c20b00
CLKO	hex_	6	def92be34235
CLKR	ui32	4	8388608.0
CLSD	ui16	2	65535.0
CLWK	ui16	2	65535.0
CPL!	hex_	1	00
CPL1	flt 	4	0.0
CPL2	flt 	4	0.0
CPPL	sp87	2	45.0
CPTX	sp78	2	100.0
D1Ac	hex_	4	00000000
D1Au	ui8 	1	0.0
D1BD	ui32	4	0.0
D1BI	ui16	2	0.0
D1CA	ui16	2	0.0
D1CD	ui16	2	0.0
D1CF	ui16	2	0.0
D1CR	ui16	2	0.0
D1CS	ui8 	1	0.0
D1CT	ui8 	1	0.0
D1CU	ui8 	1	0.0
D1Cb	ui8 	1	0.0
D1Cc	ui16	2	0.0
D1Cf	ui16	2	0.0
D1Ci	ui16	2	0.0
D1Cm	ui16	2	0.0
D1Cn	ui16	2	0.0
D1Cr	ui16	2	0.0
D1Cs	ui16	2	0.0
D1Ct	ui16	2	0.0
D1Cv	ui16	2	0.0
D1Cw	ui16	2	0.0
D1DA	hex_	2	007e
D1DE	ch8*	32	0000000000000000
D1DI	ui8 	1	2.0
D1DP	hex_	8	0000000000000000
D1DR	flag	1	01
D1Dp	flag	1	00
D1EC	ui8 	1	0.0
D1EF	hex_	4	00000000
D1Ep	flag	1	00
D1FC	ui32	4	0.0
D1FS	hex_	1	00
D1FV	hex_	4	00210000
D1IC	ui16	2	65535.0
D1IQ	?	?	ERR
D1IR	ui16	2	0.0
D1JA	ui32	4	1276968960.0
D1JB	ui32	4	1276968960.0
D1JD	{jst	21	0000000000000000
D1JE	ui32	4	0.0
D1JF	ui32	4	0.0
D1JG	ui32	4	0.0
D1JI	flt 	4	0.0
D1JM	ui16	2	38970.0
D1JN	ui16	2	19485.0
D1JP	ui8 	1	0.0
D1JQ	hex_	18	0000000000000000
D1JR	si32	4	4c1d0000
D1JS	si32	4	4c1d0000
D1JV	flt 	4	0.0
D1LC	ui8 	1	0.0
D1LG	?	?	ERR
D1LI	ui8 	1	34.0
D1LR	ui8 	1	1.0
D1MI	ui16	2	0.0
D1MP	ui32	4	0.0
D1MV	ui16	2	0.0
D1PI	si8 	1	00
D1PR	ui8 	1	0.0
D1PS	ui8 	1	0.0
D1PT	ui8 	1	0.0
D1Pd	hex_	2	0000
D1Ps	ui8 	1	255.0
D1Pt	ui8 	1	0.0
D1Rc	ui16	2	0.0
D1Rp	ui16	2	0.0
D1ST	ui8 	1	0.0
D1SW	ui8 	1	100.0
D1St	hex_	2	0000
D1VC	ui16	2	0.0
D1VD	flt 	4	0.0
D1VM	ui16	2	0.0
D1VR	ui16	2	0.0
D1VX	ui16	2	0.0
D1Vb	ui8 	1	0.0
D1Vd	hex_	2	0000
D1Vm	ui8 	1	0.0
D1Vn	ui8 	1	0.0
D1WS	flag	1	01
D1if	ch8*	12	0000000000000000
D1ih	ch8*	12	0000000000000000
D1ii	ch8*	32	0000000000000000
D1im	ch8*	32	0000000000000000
D1in	ch8*	32	0000000000000000
D1is	ch8*	32	0000000000000000
D1lg	hex_	30	1a03bba000000000
D1li	ui8 	1	5.0
D2Ac	hex_	4	00000000
D2Au	ui8 	1	0.0
D2BD	ui8 	1	0.0
D2BI	ui16	2	0.0
D2CA	ui16	2	0.0
D2CD	ui16	2	0.0
D2CF	ui16	2	0.0
D2CR	ui16	2	0.0
D2CS	ui8 	1	0.0
D2CT	ui8 	1	0.0
D2CU	ui8 	1	0.0
D2Cb	ui8 	1	0.0
D2Cc	ui16	2	0.0
D2Cf	ui16	2	0.0
D2Ci	ui16	2	0.0
D2Cm	ui16	2	0.0
D2Cn	ui16	2	0.0
D2Cr	ui16	2	0.0
D2Cs	ui16	2	0.0
D2Ct	ui16	2	0.0
D2Cv	ui16	2	0.0
D2Cw	ui16	2	0.0
D2DA	hex_	2	0070
D2DE	ch8*	32	0000000000000000
D2DI	ui8 	1	2.0
D2DP	hex_	8	0000000000000000
D2DR	flag	1	01
D2Dp	flag	1	00
D2EC	ui8 	1	0.0
D2EF	hex_	4	00000000
D2Ep	flag	1	00
D2FC	ui32	4	0.0
D2FS	hex_	1	00
D2FV	hex_	4	00210000
D2IC	ui16	2	65535.0
D2IQ	?	?	ERR
D2IR	ui16	2	0.0
D2JA	ui32	4	1276968960.0
D2JB	ui32	4	1276968960.0
D2JD	{jst	21	0000000000000000
D2JE	ui32	4	0.0
D2JF	ui32	4	0.0
D2JG	ui32	4	0.0
D2JI	flt 	4	0.0
D2JM	ui16	2	38970.0
D2JN	ui16	2	19485.0
D2JP	ui8 	1	0.0
D2JQ	hex_	18	0000000000000000
D2JR	si32	4	4c1d0000
D2JS	si32	4	4c1d0000
D2JV	flt 	4	0.0
D2LC	ui8 	1	0.0
D2LG	?	?	ERR
D2LI	ui8 	1	34.0
D2LR	ui8 	1	1.0
D2MI	ui16	2	0.0
D2MP	ui32	4	0.0
D2MV	ui16	2	0.0
D2PI	si8 	1	00
D2PR	ui8 	1	0.0
D2PS	ui8 	1	0.0
D2PT	ui8 	1	0.0
D2Pd	hex_	2	0000
D2Ps	ui8 	1	255.0
D2Pt	ui8 	1	0.0
D2Rc	ui16	2	0.0
D2Rp	ui16	2	0.0
D2ST	ui8 	1	0.0
D2St	hex_	2	0000
D2VC	ui16	2	0.0
D2VD	flt 	4	0.0
D2VM	ui16	2	0.0
D2VR	ui16	2	0.0
D2VX	ui16	2	0.0
D2Vb	ui8 	1	0.0
D2Vd	hex_	2	0000
D2Vm	ui8 	1	0.0
D2Vn	ui8 	1	0.0
D2WS	flag	1	01
D2if	ch8*	12	0000000000000000
D2ih	ch8*	12	0000000000000000
D2ii	ch8*	32	0000000000000000
D2im	ch8*	32	0000000000000000
D2in	ch8*	32	0000000000000000
D2is	ch8*	32	0000000000000000
D2lg	hex_	30	1a03bba000000000
D2li	ui8 	1	5.0
D3Ac	hex_	4	00000000
D3Au	ui8 	1	0.0
D3BD	ui8 	1	0.0
D3BI	ui16	2	0.0
D3CA	ui16	2	256.0
D3CD	ui16	2	0.0
D3CF	ui16	2	0.0
D3CR	ui16	2	0.0
D3CS	ui8 	1	0.0
D3CT	ui8 	1	0.0
D3CU	ui8 	1	0.0
D3Cb	ui8 	1	0.0
D3Cc	ui16	2	0.0
D3Cf	ui16	2	0.0
D3Ci	ui16	2	0.0
D3Cm	ui16	2	0.0
D3Cn	ui16	2	0.0
D3Cr	ui16	2	0.0
D3Cs	ui16	2	256.0
D3Ct	ui16	2	0.0
D3Cv	ui16	2	0.0
D3Cw	ui16	2	0.0
D3DA	hex_	2	0076
D3DE	ch8*	32	0000000000000000
D3DI	ui8 	1	2.0
D3DP	hex_	8	0000ff0166640000
D3DR	flag	1	01
D3Dp	flag	1	00
D3EC	ui8 	1	0.0
D3EF	hex_	4	00000000
D3Ep	flag	1	00
D3FC	ui32	4	0.0
D3FS	hex_	1	82
D3FV	hex_	4	00210000
D3IC	ui16	2	65535.0
D3IQ	?	?	ERR
D3IR	ui16	2	0.0
D3JA	ui32	4	2553937920.0
D3JB	ui32	4	2553937920.0
D3JD	{jst	21	983a0000983a0000
D3JE	ui32	4	0.0
D3JF	ui32	4	0.0
D3JG	ui32	4	2553937920.0
D3JI	flt 	4	0.37536656856536865
D3JM	ui16	2	38970.0
D3JN	ui16	2	19485.0
D3JP	ui8 	1	0.0
D3JQ	hex_	18	983a000000000000
D3JR	si32	4	983a0000
D3JS	si32	4	983a0000
D3JV	flt 	4	5.196480751037598
D3LC	ui8 	1	0.0
D3LG	?	?	ERR
D3LI	ui8 	1	56.0
D3LR	ui8 	1	1.0
D3MI	ui16	2	0.0
D3MP	ui32	4	0.0
D3MV	ui16	2	0.0
D3PI	si8 	1	ff
D3PR	ui8 	1	1.0
D3PS	ui8 	1	0.0
D3PT	ui8 	1	0.0
D3Pd	hex_	2	0000
D3Ps	ui8 	1	255.0
D3Pt	ui8 	1	0.0
D3Rc	ui16	2	0.0
D3Rp	ui16	2	0.0
D3ST	ui8 	1	0.0
D3St	hex_	2	7300
D3VC	ui16	2	0.0
D3VD	flt 	4	0.0
D3VM	ui16	2	0.0
D3VR	ui16	2	0.0
D3VX	ui16	2	0.0
D3Vb	ui8 	1	2.0
D3Vd	hex_	2	a335
D3Vm	ui8 	1	0.0
D3Vn	ui8 	1	0.0
D3WS	flag	1	01
D3if	ch8*	12	0000000000000000
D3ih	ch8*	12	0000000000000000
D3ii	ch8*	32	0000000000000000
D3im	ch8*	32	0000000000000000
D3in	ch8*	32	0000000000000000
D3is	ch8*	32	0000000000000000
D3lg	hex_	30	1a03bba000000000
D3li	ui8 	1	5.0
D4Ac	hex_	4	1384b12c
D4Au	ui8 	1	0.0
D4BD	ui8 	1	10.0
D4BI	ui16	2	56325.0
D4CA	ui16	2	256.0
D4CD	ui16	2	256.0
D4CF	ui16	2	14.0
D4CR	ui16	2	14.0
D4CS	ui8 	1	0.0
D4CT	ui8 	1	0.0
D4CU	ui8 	1	0.0
D4Cb	ui8 	1	0.0
D4Cc	ui16	2	0.0
D4Cf	ui16	2	256.0
D4Ci	ui16	2	0.0
D4Cm	ui16	2	0.0
D4Cn	ui16	2	0.0
D4Cr	ui16	2	0.0
D4Cs	ui16	2	0.0
D4Ct	ui16	2	0.0
D4Cv	ui16	2	0.0
D4Cw	ui16	2	0.0
D4DA	hex_	2	0078
D4DE	ch8*	32	7064206368617267
D4DI	ui8 	1	2.0
D4DP	hex_	8	0000000080000000
D4DR	flag	1	01
D4Dp	flag	1	00
D4EC	ui8 	1	0.0
D4EF	hex_	4	00000000
D4Ep	flag	1	01
D4FC	ui32	4	171966688.0
D4FS	hex_	1	0c
D4FV	hex_	4	00210000
D4IC	ui16	2	65535.0
D4IQ	?	?	ERR
D4IR	ui16	2	34835.0
D4JA	ui32	4	1276968960.0
D4JB	ui32	4	1276968960.0
D4JD	{jst	21	4c1d00004c1d0000
D4JE	ui32	4	0.0
D4JF	ui32	4	0.0
D4JG	ui32	4	0.0
D4JI	flt 	4	0.0
D4JM	ui16	2	38970.0
D4JN	ui16	2	19485.0
D4JP	ui8 	1	0.0
D4JQ	hex_	18	0000000000000000
D4JR	si32	4	4c1d0000
D4JS	si32	4	4c1d0000
D4JV	flt 	4	0.0
D4LC	ui8 	1	0.0
D4LG	?	?	ERR
D4LI	ui8 	1	31.0
D4LR	ui8 	1	0.0
D4MI	ui16	2	5000.0
D4MP	ui32	4	100000.0
D4MV	ui16	2	20000.0
D4PI	si8 	1	04
D4PR	ui8 	1	0.0
D4PS	ui8 	1	0.0
D4PT	ui8 	1	2.0
D4Pd	hex_	2	0000
D4Ps	ui8 	1	255.0
D4Pt	ui8 	1	1.0
D4Rc	ui16	2	0.0
D4Rp	ui16	2	47115.0
D4ST	ui8 	1	7.0
D4St	hex_	2	1100
D4VC	ui16	2	0.0
D4VD	flt 	4	0.0
D4VM	ui16	2	20000.0
D4VR	ui16	2	8270.0
D4VX	ui16	2	20000.0
D4Vb	ui8 	1	2.0
D4Vd	hex_	2	0000
D4Vm	ui8 	1	0.0
D4Vn	ui8 	1	0.0
D4WS	flag	1	01
D4if	ch8*	12	0000000000000000
D4ih	ch8*	12	0000000000000000
D4ii	ch8*	32	0000000000000000
D4im	ch8*	32	0000000000000000
D4in	ch8*	32	0000000000000000
D4is	ch8*	32	0000000000000000
D4lg	hex_	30	1a313fd33005bba0
D4li	ui8 	1	9.0
DBTE	ui8 	1	1.0
DICT	flag	1	00
DPBS	ui32	4	3366912000.0
DPBW	ui32	4	3366912000.0
DSAS	ui8 	1	0.0
DULT	ui8 	1	70.0
DUST	ui8 	1	0.0
DUTC	flag	1	01
DUTT	ui8 	1	45.0
EFBI	hex_	4	00000000
EFBM	ui8 	1	0.0
EFBP	ui8 	1	0.0
EFBS	?	?	ERR
EFMS	?	?	ERR
EFMU	hex_	16	f4ae35c8dfaa40dc
EFMV	hex_	32	0101000017000000
EFRO	hex_	16	c34092f1e1a34ae0
EFSR	ui8 	1	0.0
ERCE	flag	1	00
ERCR	ui16	2	1.0
ERCS	flag	1	00
EVPF	hex_	13	0000000000000000
F0AH	spf0	2	1753
F0AL	spf0	2	15f0
F0Ac	flt 	4	4709.94580078125
F0Dc	flt 	4	0.5476431846618652
F0Fb	ui8 	1	1.0
F0Fc	ui16	2	4.0
F0Md	ui8 	1	0.0
F0Mn	flt 	4	1836.0
F0Mx	flt 	4	5616.0
F0Sf	ui16	2	0.0
F0St	ui8 	1	5.0
F0Tg	flt 	4	4694.0
F1AH	spf0	2	1753
F1AL	spf0	2	1450
F1Ac	flt 	4	4347.0908203125
F1Dc	flt 	4	0.4999845623970032
F1Fb	ui8 	1	1.0
F1Fc	ui16	2	4.0
F1Md	ui8 	1	0.0
F1Mn	flt 	4	1700.0
F1Mx	flt 	4	5200.0
F1Sf	ui16	2	0.0
F1St	ui8 	1	5.0
F1Tg	flt 	4	4347.0
FAC0	ui8 	1	0.0
FAC1	ui8 	1	0.0
FAC2	ui8 	1	0.0
FAC3	ui8 	1	0.0
FBAD	hex_	4	00000000
FNum	ui8 	1	2.0
FOff	ui8 	1	0.0
FRmp	ui16	2	0.0
GCST	hex_	1	01
GPUB	ui16	2	58040.0
GPUC	ui32	4	0.0
GPUD	ui8 	1	0.0
GPUS	hex_	32	3001010401000200
GS0C	ui16	2	0.0
GT0C	ui16	2	400.0
GT0R	ui8 	1	0.0
GTH!	hex_	1	00
